"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"61","121.226025596357","88.86071805440086","0.067626953125","0.06787109375","0.066162109375","1560","0.00020504332494161552","24","0.00020504332494161552","0","0.00020504332494161552","0.00020504332494161552","76:68;60:68;62:68","76:0.0030732664739238913;60:0.002778236184910743;62:0.0031575529910255196","76:0.002954960062751283;60:0.0015832439339216742;62:0.002576633538860812","0.067626953125","Yes"
"62","131.38479476620319","53.04742803600471","0.0338134765625","0.029541015625","0.0380859375","1560","0.0006461532777572429","24","0.0006461532777572429","0","0.0006461532777572429","0.0006461532777572429","61:68;63:68","61:0.0031575529910255196;63:0.005909577841301333","61:0.002576633538860812;63:0.008544761230727005","0.0338134765625","Yes"
"63","188.85963693008017","13.593917874996668","0.052734375","0.058837890625","0.046630859375","1560","0.0006764766660884647","24","0.0006764766660884647","0","0.0006764766660884647","0.0006764766660884647","56:68;62:68;64:68","56:0.005506186317877193;62:0.005909577841301333;64:0.042421333045509685","56:0.005530493933598862;62:0.008544761230727005;64:0.07433247304770121","0.052734375","Yes"
"64","117.76023850222145","84.95779450149124","0.0074462890625","0.009033203125","0.005859375","1560","0.00029562521940243154","24","0.00029562521940243154","0","0.00029562521940243154","0.00029562521940243154","65:68;63:68","65:0.0029351994122467917;63:0.042421333045509685","65:0.0025531537366854373;63:0.07433247304770121","0.0074462890625","Yes"
"65","143.01987694018405","90.34387363987898","0.095947265625","0.090576171875","0.101318359375","1560","0.00043003018574188913","24","0.00043003018574188913","0","0.00043003018574188913","0.00043003018574188913","64:68;66:68;77:68","64:0.0029351994122467917;66:0.0027004992277503415;77:0.004279199372986958","64:0.0025531537366854373;66:0.0027420780177171145;77:0.0028007854990526604","0.095947265625","Yes"
"66","96.98986036520515","17.65260984846545","0.011474609375","0.013671875","0.00927734375","1560","0.00022563312904899739","24","0.00022563312904899739","0","0.00022563312904899739","0.00022563312904899739","65:68;67:68","65:0.0027004992277503415;67:0.0029683634207836596","65:0.0027420780177171145;67:0.0038405930751958806","0.011474609375","Yes"
"67","155.37290736721","59.30058878660619","0.05419921875","0.052734375","0.0556640625","1560","0.0003108139635215726","24","0.0003108139635215726","0","0.0003108139635215726","0.0003108139635215726","68:68;57:68;66:68","68:0.0031437453597885634;57:0.015244571276458285;66:0.0029683634207836596","68:0.0023816231483657357;57:0.017227708602307046;66:0.0038405930751958806","0.05419921875","Yes"
"68","118.10877390288033","110.20323665679935","0.010986328125","0.0146484375","0.00732421875","1560","0.0002864697856229623","24","0.0002864697856229623","0","0.0002864697856229623","0.0002864697856229623","67:68;69:68","67:0.0031437453597885634;69:0.0041763863228491405","67:0.0023816231483657357;69:0.0038230316441356105","0.010986328125","Yes"
"69","72.70580684036656","32.286058049108185","0.032958984375","0.035888671875","0.030029296875","1560","0.0004588920122117825","24","0.0004588920122117825","0","0.0004588920122117825","0.0004588920122117825","78:68;68:68;70:68","78:0.0028123282389821147;68:0.0041763863228491405;70:0.005561046081996396","78:0.0023453717599881685;68:0.0038230316441356105;70:0.0026283353354575323","0.032958984375","Yes"
"70","73.42839452732767","84.0661004209364","0.0068359375","0.010986328125","0.002685546875","1560","0.00027235610226271915","24","0.00027235610226271915","0","0.00027235610226271915","0.00027235610226271915","69:68;71:68","69:0.005561046081996396;71:0.0030563322141190508","69:0.0026283353354575323;71:0.002254149955412399","0.0068359375","Yes"
"71","170.94162128744276","118.05633291237388","0.013916015625","0.01806640625","0.009765625","1560","0.00027876403725132385","24","0.00027876403725132385","0","0.00027876403725132385","0.00027876403725132385","72:68;58:68;70:68","58:0.002194593913025511;70:0.0030563322141190508","58:0.0016304234482957813;70:0.002254149955412399","0.013916015625","Yes"
"72","11.393168537216084","99.15649886504495","0.43408203125","0.77734375","0.0908203125","1560","","24","","0","","","73:68;71:68","","","0.43408203125","Yes"
